,0
Bankrupt_,0.9471009883170682
Realized Sales Gross Profit Growth Rate,0.9471009883170682
Per Share Net profit before tax _Yuan __,0.9471009883170682
Operating Profit Per Share _Yuan __,0.9471009883170682
Revenue Per Share _Yuan __,0.9471009883170682
Cash Flow Per Share,0.9471009883170682
Persistent EPS in the Last Four Seasons,0.9471009883170682
Net Value Per Share _C_,0.9471009883170682
Net Value Per Share _A_,0.9471009883170682
Net Value Per Share _B_,0.9471009883170682
Tax rate _A_,0.9471009883170682
Interest_bearing debt interest rate,0.9471009883170682
Cash flow rate,0.9471009883170682
Research and development expense rate,0.9471009883170682
Operating Expense Rate,0.9471009883170682
Continuous interest rate _after tax_,0.9471009883170682
Non_industry income and expenditure_revenue,0.9471009883170682
After_tax net Interest Rate,0.9471009883170682
Pre_tax net Interest Rate,0.9471009883170682
Operating Profit Rate,0.9471009883170682
Realized Sales Gross Margin,0.9471009883170682
Operating Gross Margin,0.9471009883170682
ROA_B_ before interest and depreciation after tax,0.9471009883170682
ROA_A_ before interest and _ after tax,0.9471009883170682
ROA_C_ before interest and depreciation before interest,0.9471009883170682
Operating Profit Growth Rate,0.9471009883170682
After_tax Net Profit Growth Rate,0.9471009883170682
Regular Net Profit Growth Rate,0.9471009883170682
Continuous Net Profit Growth Rate,0.9471009883170682
Total Asset Growth Rate,0.9471009883170682
Net Value Growth Rate,0.9471009883170682
Total Asset Return Growth Rate Ratio,0.9471009883170682
Cash Reinvestment _,0.9471009883170682
Current Assets_Total Assets,0.9471009883170682
Quick Assets_Total Assets,0.9471009883170682
Working Capital to Total Assets,0.9471009883170682
Allocation rate per person,0.9471009883170682
Operating profit per person,0.9471009883170682
Revenue per person,0.9471009883170682
Net Worth Turnover Rate _times_,0.9471009883170682
Fixed Assets Turnover Frequency,0.9471009883170682
Inventory Turnover Rate _times_,0.9471009883170682
Average Collection Days,0.9471009883170682
Accounts Receivable Turnover,0.9471009883170682
Total Asset Turnover,0.9471009883170682
Inventory and accounts receivable_Net value,0.9471009883170682
Net profit before tax_Paid_in capital,0.9471009883170682
Operating profit_Paid_in capital,0.9471009883170682
Contingent liabilities_Net worth,0.9471009883170682
Borrowing dependency,0.9471009883170682
